"Geography","Population mid-2018 (millions)","Births per 1,000 Population","Infant Mortality Rate"
"Algeria","42.7","26","22"
"Egypt","97","27","15"
"Libya","6.5","20","22"
"Morocco","35.2","18","22"
"Sudan","41.7","34","45"
"Tunisia","11.6","19","15"
"Western Sahara","0.6","20","30"
"Benin","11.5","37","63"
"Burkina Faso","20.3","40","57"
"Cape Verde","0.6","19","21"
"Cote d'Ivoire","24.9","35","62"
"Gambia","2.2","39","46"
"Ghana","29.5","30","37"
"Guinea","11.9","39","68"
"Guinea-Bissau","1.9","36","73"
"Liberia","4.9","33","50"
"Mali","19.4","45","56"
"Mauritania","4.5","34","65"
"Niger","22.2","48","60"
"Nigeria","195.9","39","67"
"Senegal","16.3","33","42"
"Sierra Leone","7.7","33","84"
"Togo","8","34","52"
"Burundi","11.8","41","47"
"Comoros","0.8","33","55"
"Djibouti","1","23","52"
"Eritrea","6","30","46"
"Ethiopia","107.5","33","40"
"Kenya","51","31","36"
"Madagascar","26.3","32","32"
"Malawi","19.1","34","42"
"Mauritius","1.3","11","11.8"
"Mozambique","30.5","39","65"
"Rwanda","12.6","32","32"
"Seychelles","0.1","17","13.4"
"Somalia","15.2","43","72"
"South Sudan","13","37","69"
"Tanzania","59.1","39","43"
"Uganda","44.1","41","43"
"Zambia","17.7","39","49"
"Zimbabwe","14","34","50"
"Angola","30.4","45","44"
"Cameroon","25.6","36","52"
"Central African Republic","4.7","36","85"
"Chad","15.4","45","72"
"Congo","5.4","33","41"
"Congo, Dem. Rep.","84.3","43","67"
"Equatorial Guinea","1.3","34","64"
"Gabon","2.1","29","37"
"Sao Tome and Principe","0.2","33","38"
"Botswana","2.2","22","31"
"eSwatini","1.4","29","50"
"Lesotho","2.3","29","59"
"Namibia","2.5","28","36"
"South Africa","57.7","21","36"
"Canada","37.2","11","4.5"
"United States","328","12","5.6"
"Belize","0.4","23","9"
"Costa Rica","5","14","8"
"El Salvador","6.5","20","17"
"Guatemala","17.2","24","28"
"Honduras","9","22","25"
"Mexico","130.8","19","17"
"Nicaragua","6.3","20","18"
"Panama","4.2","19","14"
"Antigua and Barbuda","0.1","15","8"
"Bahamas","0.4","13","8"
"Barbados","0.3","11","9"
"Cuba","11.1","10","4.3"
"Curacao","0.2","10","10.7"
"Dominica","0.07","12","20"
"Dominican Republic","10.8","20","31"
"Grenada","0.1","16","19"
"Haiti","10.8","25","59"
"Jamaica","2.9","17","14"
"Puerto Rico","3.3","7","7"
"St. Kitts-Nevis","0.05","14","17"
"Saint Lucia","0.2","12","18"
"St. Vincent and the Grenadines","0.1","16","18"
"Trinidad and Tobago","1.4","13","13"
"Argentina","44.5","17","10.1"
"Bolivia","11.3","23","37"
"Brazil","209.4","14","11"
"Chile","18.6","14","6.9"
"Colombia","49.8","15","14"
"Ecuador","17","20","19"
"Guyana","0.8","21","31"
"Paraguay","6.9","21","17"
"Peru","32.2","19","16"
"Suriname","0.6","18","16"
"Uruguay","3.5","14","11.5"
"Venezuela","31.8","19","12.5"
"Armenia","3","13","8"
"Azerbaijan","9.9","15","11"
"Bahrain","1.5","14","6"
"Cyprus","1.2","11","3"
"Georgia","3.9","14","10"
"Iraq","40.2","31","38"
"Israel","8.5","21","3"
"Jordan","10.2","24","15"
"Kuwait","4.2","14","8"
"Lebanon","6.1","14","7"
"Oman","4.7","20","9"
"Qatar","2.7","10","6"
"Saudi Arabia","33.4","17","12"
"Syria","18.3","22","17"
"Turkey","81.3","16","9"
"United Arab Emirates","9.5","10","6"
"Yemen","28.9","32","44"
"Kazakhstan","18.4","23","9"
"Kyrgyzstan","6.1","26","17"
"Tajikistan","9.1","33","27"
"Turkmenistan","5.9","26","44"
"Uzbekistan","32.9","22","11"
"Afghanistan","36.5","35","57"
"Bangladesh","166.4","19","28"
"Bhutan","0.8","18","26"
"India","1,371.3","20","34"
"Iran","81.6","19","5"
"Maldives","0.4","20","8"
"Nepal","29.7","20","32"
"Pakistan","200.6","26","66"
"Sri Lanka","21.7","16","7"
"Brunei","0.4","16","6"
"Cambodia","16","23","24"
"Indonesia","265.2","19","22"
"Laos","7","24","42"
"Malaysia","32.5","16","7"
"Myanmar","53.9","18","52"
"Philippines","107","21","21"
"Singapore","5.8","9","2.2"
"Thailand","66.2","11","10"
"Timor-Leste","1.2","30","30"
"Vietnam","94.7","16","15"
"China","1,393.8","12","10"
"Japan","126.5","8","2"
"Korea, North","25.6","14","12"
"Korea, South","51.8","7","2.8"
"Mongolia","3.2","24","13"
"Taiwan","23.6","9","3.9"
"Denmark","5.8","11","3.8"
"Estonia","1.3","10","2.4"
"Finland","5.5","9","2"
"Iceland","0.4","12","2.7"
"Ireland","4.9","13","2.8"
"Latvia","1.9","11","4.1"
"Lithuania","2.8","10","4.5"
"Norway","5.3","11","2.3"
"Sweden","10.2","11","2.5"
"United Kingdom","66.4","12","3.9"
"Austria","8.8","10","2.9"
"Belgium","11.4","10","3.3"
"France","65.1","11","3.6"
"Germany","82.8","9","3.3"
"Liechtenstein","0.04","10","4.2"
"Luxembourg","0.6","10","3.3"
"Monaco","0.04","7","---"
"Netherlands","17.2","10","3.5"
"Switzerland","8.5","10","3.5"
"Belarus","9.5","11","3.2"
"Bulgaria","7","9","6.4"
"Czechia","10.6","11","2.7"
"Hungary","9.8","9","3.6"
"Moldova","3.5","11","9"
"Poland","38.4","11","4"
"Romania","19.5","10","7.1"
"Russia","147.3","12","5.5"
"Slovakia","5.4","11","4.5"
"Ukraine","42.3","9","7.7"
"Albania","2.9","11","8"
"Andorra","0.08","8","3.4"
"Bosnia-Herzegovina","3.5","9","6"
"Croatia","4.1","9","4.3"
"Greece","10.6","9","4.2"
"Italy","60.6","8","2.9"
"Kosovo","1.8","13","9"
"Macedonia","2.1","11","9"
"Malta","0.5","10","7.4"
"Montenegro","0.6","12","2.3"
"Portugal","10.3","8","2.6"
"San Marino","0.03","7","3.8"
"Serbia","7","9","5.4"
"Slovenia","2.1","10","1.8"
"Spain","46.7","8","2.8"
"Australia","24.1","13","3.4"
"Federated States of Micronesia","0.1","22","32"
"Fiji","0.9","18","14"
"French Polynesia","0.3","14","7.5"
"Guam","0.2","21","13.1"
"Kiribati","0.1","29","44"
"Marshall Islands","0.06","27","22"
"Nauru","0.01","30","18"
"New Caledonia","0.3","15","12"
"New Zealand","4.9","12","3.9"
"Palau","0.02","12","17"
"Papua New Guinea","8.5","29","46"
"Samoa","0.2","25","14"
"Solomon Islands","0.7","28","25"
"Tonga","0.1","24","19"
"Tuvalu","0.01","25","10"
"Vanuatu","0.3","27","22"
